Free: 28 spline, 88 tower
Update: 50 spline, 188 tower
Free: 25 spline, 94 tower
Update: 2 spline, 8 tower
Update: 26 spline, 64 tower
Free: 13 spline, 32 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 4 spline, 8 tower
Update: 50 spline, 192 tower
Free: 25 spline, 95 tower
Update: 32 spline, 142 tower
Free: 16 spline, 71 tower
Update: 3 spline, 17 tower
Update: 17 spline, 54 tower
Free: 8 spline, 27 tower
Update: 6 spline, 37 tower
Free: 3 spline, 19 tower
Update: 14 spline, 38 tower
Free: 7 spline, 17 tower
Update: 16 spline, 63 tower
Free: 5 spline, 19 tower
Update: 36 spline, 162 tower
Free: 18 spline, 81 tower
Update: 32 spline, 132 tower
Free: 16 spline, 66 tower
Update: 46 spline, 124 tower
Free: 23 spline, 62 tower
Update: 2 spline, 9 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 2 spline, 9 tower
Update: 8 spline, 64 tower
Free: 4 spline, 32 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 22 spline, 64 tower
Free: 11 spline, 31 tower
Update: 50 spline, 154 tower
Free: 25 spline, 77 tower
Update: 4 spline, 18 tower
Free: 3 spline, 11 tower
