Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
186, 6, 5, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
186, 6, 7, 我们谴责了他们, Update,   -8.0
186, 6, 7, 对他们有利的交易, Update,    8.0
186, 4, 7, 联盟, Activate,   18.0,   18.0,    1.0, 0, 10,   -1.0
186, 7, 5, 已谴责一位敌人, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
186, 7, 2, 已谴责一位朋友, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
186, 7, 5, 已谴责一位朋友, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
186, 7, 1, 我们谴责了他们, Update,    0.0
186, 7, 1, 对他们有利的交易, Update,    2.0
186, 7, 2, 对他们有利的交易, Update,    9.0
186, 2, 7, 监视他们, Activate,  -10.0,  -10.0,    0.0, 0, 15,    1.0
186, 2,  7, 监视他们, Deactivate
187, 0, 1, 与一位朋友结盟, Activate,    7.0,    7.0,    0.0, 0, 0,    1.0
187, 0, 1, 已谴责一位朋友, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
187, 0, 5, 已谴责一位朋友, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
187, 0, 1, 我们的军队已到达他们边境, Update,   -1.0
187, 0, 1, 对他们有利的交易, Update,    7.0
187, 0, 1, 您的好战性, Update,  -18.0
187, 0, 5, 您的好战性, Update,  -21.0
187, 0, 6, 您的好战性, Update,   -2.0
187, 1, 0, 与一位敌人结盟, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
187, 1, 0, 已与一位朋友宣布友好, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
187, 1, 5, 已谴责一位敌人, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
187, 5, 1, 不同的政体, Activate,   -8.0,   -8.0,    1.0, 0, 0,    1.0
187, 1, 5, 不同的政体, Activate,   -8.0,   -8.0,    1.0, 0, 0,    1.0
187, 1, 4, 您的好战性, Update,   -6.0
187, 1, 5, 对他们有利的交易, Update,    2.0
187, 1, 6, 您的好战性, Update,   -3.0
187, 1, 7, 对他们有利的交易, Update,    1.0
187, 2, 4, 与一位敌人结盟, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
187, 2, 7, 与一位敌人结盟, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
187, 2, 5, 已与一位敌人宣布友好, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
187, 2, 1, 已谴责一位敌人, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
187, 2, 1, 您的好战性, Update,   -9.0
187, 2, 5, 您的好战性, Update,   -9.0
187, 2, 6, 拒绝向他们做出外交承诺, Update,    0.0
187, 2, 6, 您的好战性, Update,   -2.0
187, 4, 0, 与一位朋友结盟, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
187, 4, 1, 与一位朋友结盟, Activate,    3.0,    3.0,    0.0, 0, 0,    1.0
187, 4, 7, 与一位朋友结盟, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
187, 4, 5, 已与一位朋友宣布友好, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
