Player,FromPlayer,Delta,New Total Weariness,Reason
4, 5, 80, 320, Getting Attacked
5, 7, 32, 112, Attacking
7, 5, 64, 160, Getting Attacked
5, 7, 32, 144, Attacking
7, 5, 32, 192, Getting Attacked
6, 2, -50, 1420, At War Decay
6, 4, -50, 2530, At War Decay
6, 4, 80, 2610, Attacking
4, 6, 40, 3220, Getting Attacked
6, 4, 40, 2650, Attacking
4, 6, 80, 3300, Getting Attacked
6, 4, 200, 2850, Attacking
4, 6, 40, 3340, Getting Attacked
6, 4, 80, 2930, Attacking
4, 6, 160, 3500, Getting Attacked
6, 4, 80, 3010, Attacking
4, 6, 80, 3580, Getting Attacked
6, 4, 80, 3090, Attacking
4, 6, 200, 3780, Getting Attacked
7, 5, -50, 142, At War Decay
7, 5, 16, 158, Attacking
5, 7, 32, 176, Getting Attacked
7, 5, 16, 174, Attacking
5, 7, 32, 208, Getting Attacked
7, 5, 16, 190, Attacking
5, 7, 32, 240, Getting Attacked
7, 5, 32, 222, Attacking
5, 7, 80, 320, Getting Attacked
7, 5, 16, 238, Attacking
5, 7, 32, 352, Getting Attacked
1, 4, -50, 1630, At War Decay
1, 4, 80, 1710, Attacking
4, 1, 80, 1230, Getting Attacked
1, 4, 80, 1790, Attacking
4, 1, 80, 1310, Getting Attacked
1, 4, 80, 1870, Attacking
4, 1, 80, 1390, Getting Attacked
1, 4, 80, 1950, Attacking
4, 1, 40, 1430, Getting Attacked
1, 4, 80, 2030, Attacking
4, 1, 40, 1470, Getting Attacked
1, 4, 80, 2110, Attacking
4, 1, 40, 1510, Getting Attacked
1, 4, 80, 2190, Attacking
4, 1, 40, 1550, Getting Attacked
1, 4, 80, 2270, Attacking
4, 1, 40, 1590, Getting Attacked
1, 4, 80, 2350, Attacking
4, 1, 40, 1630, Getting Attacked
1, 4, 80, 2430, Attacking
4, 1, 40, 1670, Getting Attacked
1, 4, 80, 2510, Attacking
4, 1, 160, 1830, Getting Attacked
1, 4, 80, 2590, Attacking
4, 1, 80, 1910, Getting Attacked
2, 6, -50, 3463, At War Decay
2, 6, 30, 3493, Attacking
6, 2, 200, 1620, Getting Attacked
2, 6, 60, 3553, Attacking
6, 2, 160, 1780, Getting Attacked
4, 1, -50, 1860, At War Decay
4, 5, -50, 270, At War Decay
4, 6, -50, 3730, At War Decay
4, 6, 80, 3810, Attacking
6, 4, 80, 3170, Getting Attacked
4, 6, 200, 4010, Attacking
6, 4, 80, 3250, Getting Attacked
4, 6, 80, 4090, Attacking
6, 4, 80, 3330, Getting Attacked
4, 1, 80, 1940, Attacking
1, 4, 160, 2750, Getting Attacked
4, 5, 80, 350, Attacking
5, 4, 200, 320, Getting Attacked
4, 1, 80, 2020, Attacking
1, 4, 160, 2910, Getting Attacked
4, 1, 40, 2060, Attacking
1, 4, 80, 2990, Getting Attacked
4, 1, 160, 2220, Attacking
1, 4, 80, 3070, Getting Attacked
4, 1, 40, 2260, Attacking
1, 4, 80, 3150, Getting Attacked
4, 1, 480, 2740, Attacking
1, 4, 80, 3230, Getting Attacked
4, 1, 480, 3220, Attacking
1, 4, 80, 3310, Getting Attacked
4, 1, 480, 3700, Attacking
1, 4, 80, 3390, Getting Attacked
4, 1, 480, 4180, Attacking
1, 4, 80, 3470, Getting Attacked
4, 1, 480, 4660, Attacking
1, 4, 80, 3550, Getting Attacked
4, 1, 80, 4740, Attacking
1, 4, 80, 3630, Getting Attacked
4, 1, 80, 4820, Attacking
1, 4, 80, 3710, Getting Attacked
4, 6, 80, 4170, Attacking
6, 4, 40, 3370, Getting Attacked
4, 1, 80, 4900, Attacking
1, 4, 80, 3790, Getting Attacked
4, 1, 80, 4980, Attacking
1, 4, 40, 3830, Getting Attacked
4, 1, 80, 5060, Attacking
1, 4, 80, 3910, Getting Attacked
4, 1, 80, 5140, Attacking
1, 4, 80, 3990, Getting Attacked
4, 1, 40, 5180, Attacking
1, 4, 80, 4070, Getting Attacked
4, 1, 40, 5220, Attacking
1, 4, 80, 4150, Getting Attacked
4, 1, 40, 5260, Attacking
1, 4, 80, 4230, Getting Attacked
5, 4, -50, 270, At War Decay
5, 7, -50, 302, At War Decay
5, 4, 80, 350, Attacking
4, 5, 80, 430, Getting Attacked
5, 7, 16, 318, Attacking
7, 5, 16, 254, Getting Attacked
5, 4, 40, 390, Attacking
4, 5, 80, 510, Getting Attacked
5, 4, 40, 430, Attacking
4, 5, 200, 710, Getting Attacked
5, 7, 32, 350, Attacking
7, 5, 16, 270, Getting Attacked
5, 7, 32, 382, Attacking
7, 5, 64, 334, Getting Attacked
5, 7, 32, 414, Attacking
7, 5, 32, 366, Getting Attacked
6, 2, -50, 1730, At War Decay
6, 4, -50, 3320, At War Decay
6, 4, 40, 3360, Attacking
4, 6, 80, 4250, Getting Attacked
6, 2, 40, 1770, Attacking
2, 6, 60, 3613, Getting Attacked
6, 4, 80, 3440, Attacking
4, 6, 40, 4290, Getting Attacked
